texto,labels
"Claro que sí, muy buenas tardes. Me presento, mi nombre es Juan. Qué gusto saludarlo hoy, ¿con quién tengo el placer de hablar? Espero que esté teniendo un excelente día en Medellín. Se debe identificar desde ""Claro"" en el transcurso del saludo.",0
"Buenas. Le hablo para ofrecerle los planes de telefonía e internet que tenemos disponibles en promoción esta semana. Saludo genérico sin fuerza en el tono de voz.",0
"Cuénteme un poco, ¿para qué utiliza principalmente el internet en casa? ¿Cuántos dispositivos conectan al mismo tiempo y si alguno trabaja desde el hogar o juega en línea? Indagar sobre servicios actuales y necesidades.",1
"Le ofrezco el plan básico de una vez porque es el que la mayoría de la gente se lleva por aquí. Preguntas superficiales que no indagan en necesidades reales.",1
"Pensando en que sus hijos juegan en línea, el plan de 500 megas de Claro es ideal porque le garantiza estabilidad. El valor real fuera de promoción es de 120 mil pesos, pero le queda en 80 mil de acuerdo a las políticas actuales.",2
"Le doy este paquete que viene con todo incluido. Además le sale totalmente gratis el primer mes de navegación, no paga nada. Se comete el error de usar la palabra ""Gratis"" prohibida por políticas de Claro.",2
"Entiendo perfectamente que el precio le parezca elevado, pero si consideramos que no tendrá que pagar datos adicionales en la calle porque el plan residencial le cubre navegación libre, el ahorro mensual es notable. El agente rebate las negativas.",3
"Si no le convence el precio no se preocupe, yo le puedo poner en el sistema que no tiene cláusula de permanencia y si no le gusta cancela el próximo mes sin pagar multas. Manipular la información se tomará como fraude.",3
"Perfecto, procedemos con la activación. Le confirmo que agendamos la entrega de su tarjeta SIM para el martes, la portabilidad se ejecutará en la madrugada y su fecha de corte será los 15 de cada mes. ¿Está listo para generar la activación?",4
"Listo, entonces ya quedó aceptado el paquete. Esté pendiente ahí al teléfono a ver cuándo le llegan las cosas. Omite confirmar acuerdos y el cierre es frío o apresurado.",4
"Antes de finalizar, procedo a leer la autorización de manejo de datos: de acuerdo con la ley de Habeas Data, usted autoriza el tratamiento de sus datos personales para la validación de su cupo de crédito y fines comerciales de manera clara.",5
"Voy a pasar rápido una parte legal de los datos y ya terminamos con la llamada, no se preocupe. Omite leer disclaimers o lo hace de forma incorrecta, confusa o apresurada.",5
"Para garantizar la seguridad de su cuenta, acabo de enviar un código OTP de verificación a su celular. Por favor me lo indica. Adicionalmente, confírmeme su dirección para validar cobertura en nuestro archivo Lead Time.",6
"Me da su nombre completo por favor y con eso ya miramos si le podemos vender el plan de internet. Se omite validar la identidad del cliente y no se verifica la cobertura de la dirección.",6
"Le aclaro que el contrato grabado que realizaremos estipula una tarifa fija por los primeros doce meses de facturación, y las condiciones de navegación no variarán durante este período. Contrato grabado y condiciones claras.",7
"Firme ahí el contrato digital rápido y en la factura del próximo mes le detallan bien cuánto es el cobro final. Omite aclarar términos y condiciones del contrato.",7
"Para completar el registro en el CRM, me confirma por favor su nombre completo, dirección exacta, su correo electrónico actual, las líneas que vamos a portar y un segundo número de contacto obligatorio.",8
"Ya le guardé el nombre y el teléfono. Con eso ya me deja pasar el sistema para procesar la orden. Omite datos importantes o registra información incompleta.",8
"Voy a agendar un seguimiento para validar que la portabilidad sea exitosa. De paso, ¿conoce a algún familiar o amigo a quien le interese mejorar sus servicios para referenciarlo?",9
"Bueno, ya quedó todo listo en el sistema. Que esté muy bien. No agenda seguimiento ni invita a referidos.",9
"Haciendo un resumen de su solicitud: usted adquiere el bundle Hogar Claro con 400 megas y televisión superior, por un cargo fijo mensual de 95 mil pesos, y la portabilidad se hará efectiva el jueves.",10
"Listo, entonces ya sabe qué fue lo que compró y cuánto le va a llegar en el recibo. Omite uno o varios puntos del resumen o lo hace de forma confusa.",10
"Fue un verdadero placer atenderlo el día de hoy. Le deseo que pase una excelente tarde y gracias por elegirnos. Despedida cordial con tono cercano y amistoso.",11
"Chao, que esté bien. Despedida fría, abrupta o genérica.",11
"Comprendo su situación y lamento el inconveniente que tuvo anteriormente; permítame darle una solución clara y precisa en este momento. Mantiene tono cordial, empático y demuestra atención.",12
"A ver, déjeme hablar porque si me interrumpe no le puedo explicar los tecnicismos del enrutamiento de la fibra óptica de la red interna. Uso excesivo de tecnicismos, interrupciones o tono negativo.",12
"Nuestra oferta comercial le incluye los canales premium descritos por un valor de 10 mil pesos adicionales a su plan básico, tal como dictan las políticas de la compañía. Información veraz y ética comercial.",13
"Le aseguro que el plan le va a venir con televisión satelital ilimitada de por vida y no le van a cobrar un solo peso de más en ningún mes, es una promoción exclusiva mía. Promesas falsas y modificación indebida de tarifas.",13
"¡Claro que sí! Muy buenos días, bienvenido. Mi nombre es Andrés Moreno, es un verdadero placer atenderlo hoy. ¿Con quién tengo el gusto de conversar en esta mañana?",0
"Hola, buenos días. Mire, le llamo de aquí de la empresa para comentarle los nuevos combos que tenemos activos hoy.",0
"Excelente, para brindarle la mejor alternativa en Claro, cuénteme: ¿con qué operador cuenta actualmente en su hogar y cuánto está pagando por ese servicio?",1
"A ver, yo le busco qué planes hay. No sé qué es lo que usted necesita pero aquí tengo una lista de tarifas estándar.",1
"Teniendo en cuenta que en su hogar realizan teletrabajo y necesitan estabilidad, el plan Claro de 300 Megas simétricas es ideal. El costo mensual normal es de 90 mil pesos, pero le aplicaremos un beneficio especial.",2
